stage,seed,fold,validation_ma_st_rae,validation_point_ma_st_rae,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile,trajectory_pooling,ridge_mode
stage2,1701,0,0.8608221317621041,0.8565596822008406,0.8034651875495911,16,8,0.003,1.0,0.0001,0.5,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,multiscale,shared
stage2,1701,1,0.8927077115278854,0.8897592838341499,0.8786470890045166,16,8,0.003,1.0,0.0001,0.5,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,multiscale,shared
stage2,1701,2,0.8571576152322913,0.8523082446581143,0.8648536205291748,16,8,0.003,1.0,0.0001,0.5,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,multiscale,shared
stage2,1701,0,0.9732093299386635,0.9664498763792687,0.8494799137115479,125,8,0.003,0.1,0.0001,0.5,64,0.08,0.5,0.005,0.75,1.0,0.5,0.2,0.8,0.15,periodic,multiscale,per_endpoint
stage2,1701,1,0.8962479269648413,0.8919127367836368,0.8791744709014893,125,8,0.003,0.1,0.0001,0.5,64,0.08,0.5,0.005,0.75,1.0,0.5,0.2,0.8,0.15,periodic,multiscale,per_endpoint
stage2,1701,2,0.8082936955098746,0.8039125468930641,0.8349844217300415,125,8,0.003,0.1,0.0001,0.5,64,0.08,0.5,0.005,0.75,1.0,0.5,0.2,0.8,0.15,periodic,multiscale,per_endpoint
stage2,1701,0,0.9155592695962419,0.9114689729899283,0.8530216813087463,16,4,0.0003,0.1,1e-06,1.0,64,0.25,1.0,0.005,0.85,1.0,0.5,0.2,0.8,0.15,local_environment,multiscale,per_endpoint
stage2,1701,1,inf,inf,0.9160399436950684,16,4,0.0003,0.1,1e-06,1.0,64,0.25,1.0,0.005,0.85,1.0,0.5,0.2,0.8,0.15,local_environment,multiscale,per_endpoint
stage2,1701,2,0.8998534845175855,0.894287463561295,0.8973363637924194,16,4,0.0003,0.1,1e-06,1.0,64,0.25,1.0,0.005,0.85,1.0,0.5,0.2,0.8,0.15,local_environment,multiscale,per_endpoint
stage2,1701,0,inf,inf,0.8507612943649292,125,4,0.003,1.0,1e-06,2.0,128,0.15,1.5,0.0,0.6,0.5,0.8,0.5,0.2,0.15,local_environment,multiscale,per_endpoint
stage2,1701,1,inf,inf,0.8847185373306274,125,4,0.003,1.0,1e-06,2.0,128,0.15,1.5,0.0,0.6,0.5,0.8,0.5,0.2,0.15,local_environment,multiscale,per_endpoint
stage2,1701,2,inf,inf,0.8792484998703003,125,4,0.003,1.0,1e-06,2.0,128,0.15,1.5,0.0,0.6,0.5,0.8,0.5,0.2,0.15,local_environment,multiscale,per_endpoint
stage2,1701,0,1.169016023210434,1.1603450545511498,0.9287931323051453,500,4,0.0003,0.01,1e-05,2.0,64,0.08,0.5,0.005,0.85,0.5,0.5,0.2,0.8,0.05,electronic,multiscale,per_endpoint
stage2,1701,1,0.9183947057146068,0.9145834442831746,0.8972956538200378,500,4,0.0003,0.01,1e-05,2.0,64,0.08,0.5,0.005,0.85,0.5,0.5,0.2,0.8,0.05,electronic,multiscale,per_endpoint
stage2,1701,2,0.8962614443310754,0.89157860331851,0.904352068901062,500,4,0.0003,0.01,1e-05,2.0,64,0.08,0.5,0.005,0.85,0.5,0.5,0.2,0.8,0.05,electronic,multiscale,per_endpoint
confirmation,1701,0,0.850630268447539,0.8480716019285395,0.7848101854324341,16,8,0.003,1.0,0.0001,0.5,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,multiscale,shared
confirmation,1701,1,0.8822763436329447,0.8790434174630388,0.8794292211532593,16,8,0.003,1.0,0.0001,0.5,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,multiscale,shared
confirmation,1701,2,0.8277451421039898,0.8249058192966968,0.836349606513977,16,8,0.003,1.0,0.0001,0.5,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,multiscale,shared
confirmation,1701,3,0.8931285969904253,0.8898455896610763,0.8721523284912109,16,8,0.003,1.0,0.0001,0.5,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,multiscale,shared
confirmation,1701,4,0.8751080143760384,0.8724668551073963,0.8775843977928162,16,8,0.003,1.0,0.0001,0.5,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,multiscale,shared
confirmation,2909,0,0.8618392404323035,0.8579776768274587,0.8067618608474731,16,8,0.003,1.0,0.0001,0.5,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,multiscale,shared
confirmation,2909,1,0.9048406933161984,0.9023943241595561,0.8958960175514221,16,8,0.003,1.0,0.0001,0.5,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,multiscale,shared
confirmation,2909,2,0.8609254509124052,0.8570259083708436,0.8622669577598572,16,8,0.003,1.0,0.0001,0.5,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,multiscale,shared
confirmation,2909,3,0.9146859112503016,0.9101988708305344,0.916550874710083,16,8,0.003,1.0,0.0001,0.5,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,multiscale,shared
confirmation,2909,4,0.9035309904884055,0.8999078538102484,0.9049604535102844,16,8,0.003,1.0,0.0001,0.5,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,multiscale,shared
confirmation,4211,0,0.854200405463369,0.8507457140914421,0.7871926426887512,16,8,0.003,1.0,0.0001,0.5,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,multiscale,shared
confirmation,4211,1,0.872001509347112,0.8694967942856664,0.8761528730392456,16,8,0.003,1.0,0.0001,0.5,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,multiscale,shared
confirmation,4211,2,0.8551151702859092,0.8516831065362714,0.8422841429710388,16,8,0.003,1.0,0.0001,0.5,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,multiscale,shared
confirmation,4211,3,0.896186247287682,0.8917942229890603,0.8813577890396118,16,8,0.003,1.0,0.0001,0.5,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,multiscale,shared
confirmation,4211,4,0.874598026746054,0.8694537912220295,0.8840315937995911,16,8,0.003,1.0,0.0001,0.5,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,multiscale,shared
confirmation,1701,0,0.8131504691140218,0.8107733899870236,0.7791723012924194,125,8,0.003,0.1,0.0001,0.5,64,0.08,0.5,0.005,0.75,1.0,0.5,0.2,0.8,0.15,periodic,multiscale,per_endpoint
confirmation,1701,1,0.8707444754600254,0.8677017659956321,0.8683444261550903,125,8,0.003,0.1,0.0001,0.5,64,0.08,0.5,0.005,0.75,1.0,0.5,0.2,0.8,0.15,periodic,multiscale,per_endpoint
confirmation,1701,2,0.8192069769645837,0.8174759388121935,0.8236597180366516,125,8,0.003,0.1,0.0001,0.5,64,0.08,0.5,0.005,0.75,1.0,0.5,0.2,0.8,0.15,periodic,multiscale,per_endpoint
confirmation,1701,3,0.878924557284724,0.8760906070320298,0.8813562989234924,125,8,0.003,0.1,0.0001,0.5,64,0.08,0.5,0.005,0.75,1.0,0.5,0.2,0.8,0.15,periodic,multiscale,per_endpoint
confirmation,1701,4,0.8981356271621835,0.8947107554398483,0.8896059393882751,125,8,0.003,0.1,0.0001,0.5,64,0.08,0.5,0.005,0.75,1.0,0.5,0.2,0.8,0.15,periodic,multiscale,per_endpoint
confirmation,2909,0,0.8251283510070067,0.8223791612258089,0.7821286916732788,125,8,0.003,0.1,0.0001,0.5,64,0.08,0.5,0.005,0.75,1.0,0.5,0.2,0.8,0.15,periodic,multiscale,per_endpoint
confirmation,2909,1,0.8694369509191614,0.8670464165927492,0.8668534755706787,125,8,0.003,0.1,0.0001,0.5,64,0.08,0.5,0.005,0.75,1.0,0.5,0.2,0.8,0.15,periodic,multiscale,per_endpoint
confirmation,2909,2,0.826683173756702,0.823182067346784,0.8266603946685791,125,8,0.003,0.1,0.0001,0.5,64,0.08,0.5,0.005,0.75,1.0,0.5,0.2,0.8,0.15,periodic,multiscale,per_endpoint
confirmation,2909,3,0.8628698086904788,0.8585180871780844,0.8654986023902893,125,8,0.003,0.1,0.0001,0.5,64,0.08,0.5,0.005,0.75,1.0,0.5,0.2,0.8,0.15,periodic,multiscale,per_endpoint
confirmation,2909,4,0.8749176466203753,0.8711618662246972,0.8739957213401794,125,8,0.003,0.1,0.0001,0.5,64,0.08,0.5,0.005,0.75,1.0,0.5,0.2,0.8,0.15,periodic,multiscale,per_endpoint
confirmation,4211,0,0.8540555999540933,0.8516385916117407,0.800492525100708,125,8,0.003,0.1,0.0001,0.5,64,0.08,0.5,0.005,0.75,1.0,0.5,0.2,0.8,0.15,periodic,multiscale,per_endpoint
confirmation,4211,1,0.8781313841321774,0.8765912585189957,0.8766564726829529,125,8,0.003,0.1,0.0001,0.5,64,0.08,0.5,0.005,0.75,1.0,0.5,0.2,0.8,0.15,periodic,multiscale,per_endpoint
confirmation,4211,2,0.8476864561372204,0.8435868292804534,0.8419569134712219,125,8,0.003,0.1,0.0001,0.5,64,0.08,0.5,0.005,0.75,1.0,0.5,0.2,0.8,0.15,periodic,multiscale,per_endpoint
confirmation,4211,3,0.9063146067439527,0.9017428655582524,0.8856548070907593,125,8,0.003,0.1,0.0001,0.5,64,0.08,0.5,0.005,0.75,1.0,0.5,0.2,0.8,0.15,periodic,multiscale,per_endpoint
confirmation,4211,4,0.8935103576338175,0.8881546063821875,0.8929288387298584,125,8,0.003,0.1,0.0001,0.5,64,0.08,0.5,0.005,0.75,1.0,0.5,0.2,0.8,0.15,periodic,multiscale,per_endpoint
