molecule_id,cyp_target,intervention,target,bond_index,ring_bond,mean_lyapunov,std_lyapunov,positive_block_fraction,repeats
OCNT-0494110,CYP2C9,bond_type_change,3-6:SINGLE->triple,5,False,0.011309171095490456,9.081698954105377e-05,0.9724999999999999,2
OCNT-0494110,CYP2C9,bond_type_change,3-6:SINGLE->aromatic,5,False,0.011988266371190548,5.307234823703766e-05,0.9775,2
OCNT-0494110,CYP2C9,bond_deletion,6-7:AROMATIC,6,True,0.010883982293307781,0.00018679536879062653,0.975,2
OCNT-0494110,CYP2C9,ring_opening,6-7:AROMATIC,6,True,0.01057410892099142,4.258845001459122e-05,0.985,2
OCNT-0494110,CYP2C9,bond_type_change,6-7:AROMATIC->single,6,True,0.011530229821801186,0.0006209081038832664,0.98,2
OCNT-0494110,CYP2C9,bond_type_change,6-7:AROMATIC->double,6,True,0.010598921217024326,0.00041721295565366745,0.9824999999999999,2
OCNT-0494110,CYP2C9,bond_type_change,6-7:AROMATIC->triple,6,True,0.013666841201484203,0.0020837904885411263,0.9675,2
OCNT-0494110,CYP2C9,bond_deletion,7-8:AROMATIC,7,True,0.011492587625980377,3.956444561481476e-05,0.9775,2
OCNT-0494110,CYP2C9,ring_opening,7-8:AROMATIC,7,True,0.01041856175288558,0.00022819498553872108,0.9775,2
OCNT-0494110,CYP2C9,bond_type_change,7-8:AROMATIC->single,7,True,0.011977626476436853,2.479134127497673e-05,0.965,2
OCNT-0494110,CYP2C9,bond_type_change,7-8:AROMATIC->double,7,True,0.010982770938426256,0.0001291646622121334,0.975,2
OCNT-0494110,CYP2C9,bond_type_change,7-8:AROMATIC->triple,7,True,0.011283442378044128,0.00012565962970256805,0.98,2
OCNT-0494110,CYP2C9,bond_deletion,8-9:AROMATIC,8,True,0.011467177886515856,4.933634772896767e-05,0.9775,2
OCNT-0494110,CYP2C9,ring_opening,8-9:AROMATIC,8,True,0.010524848476052284,0.00016928091645240784,0.98,2
OCNT-0494110,CYP2C9,bond_type_change,8-9:AROMATIC->single,8,True,0.012295483611524105,0.00013723224401474,0.9775,2
OCNT-0494110,CYP2C9,bond_type_change,8-9:AROMATIC->double,8,True,0.011584608349949121,0.00018461653962731361,0.9724999999999999,2
OCNT-0494110,CYP2C9,bond_type_change,8-9:AROMATIC->triple,8,True,0.011264144908636808,0.00036572618409991264,0.98,2
OCNT-0494110,CYP2C9,bond_deletion,9-10:SINGLE,9,False,0.011358781717717648,0.00021374598145484924,0.98,2
OCNT-0494110,CYP2C9,bond_type_change,9-10:SINGLE->double,9,False,0.011316105723381042,0.0002407710999250412,0.9724999999999999,2
OCNT-0494110,CYP2C9,bond_type_change,9-10:SINGLE->triple,9,False,0.01151581946760416,0.00020297523587942123,0.98,2
OCNT-0494110,CYP2C9,bond_type_change,9-10:SINGLE->aromatic,9,False,0.01129267131909728,1.3526063412427902e-05,0.98,2
OCNT-0494110,CYP2C9,bond_deletion,9-11:AROMATIC,10,True,0.011620995588600636,0.00020119547843933105,0.97,2
OCNT-0494110,CYP2C9,ring_opening,9-11:AROMATIC,10,True,0.010627646464854479,0.00018897978588938713,0.975,2
OCNT-0494110,CYP2C9,bond_type_change,9-11:AROMATIC->single,10,True,0.012404699344187975,3.7750694900751114e-05,0.9775,2
OCNT-0494110,CYP2C9,bond_type_change,9-11:AROMATIC->double,10,True,0.010928142815828323,0.0007042214274406433,0.9775,2
OCNT-0494110,CYP2C9,bond_type_change,9-11:AROMATIC->triple,10,True,0.010853355750441551,6.57886266708374e-06,0.9724999999999999,2
OCNT-0494110,CYP2C9,bond_deletion,11-12:AROMATIC,11,True,0.01168920798227191,0.0001748804934322834,0.9724999999999999,2
OCNT-0494110,CYP2C9,ring_opening,11-12:AROMATIC,11,True,0.010407379362732172,0.00023648375645279884,0.9775,2
OCNT-0494110,CYP2C9,bond_type_change,11-12:AROMATIC->single,11,True,0.01229134388267994,7.524900138378143e-05,0.97,2
OCNT-0494110,CYP2C9,bond_type_change,11-12:AROMATIC->double,11,True,0.010836103931069374,0.00029662251472473145,0.9724999999999999,2
OCNT-0494110,CYP2C9,bond_type_change,11-12:AROMATIC->triple,11,True,0.01151885837316513,7.583200931549072e-05,0.975,2
OCNT-0494110,CYP2C9,bond_deletion,2-13:SINGLE,12,False,0.010817168280482292,4.888419061899185e-05,0.975,2
OCNT-0494110,CYP2C9,bond_type_change,2-13:SINGLE->double,12,False,0.012350017670542002,0.000181571114808321,0.98,2
OCNT-0494110,CYP2C9,bond_type_change,2-13:SINGLE->triple,12,False,0.011319123208522797,0.00043927785009145737,0.975,2
OCNT-0494110,CYP2C9,bond_type_change,2-13:SINGLE->aromatic,12,False,0.010691536590456963,0.00024820026010274887,0.98,2
OCNT-0494110,CYP2C9,bond_deletion,13-14:AROMATIC,13,True,0.011076197028160095,0.00032753683626651764,0.975,2
OCNT-0494110,CYP2C9,ring_opening,13-14:AROMATIC,13,True,0.011071369517594576,0.0001231287606060505,0.985,2
OCNT-0494110,CYP2C9,bond_type_change,13-14:AROMATIC->single,13,True,0.011590146459639072,0.0005740011110901833,0.9724999999999999,2
OCNT-0494110,CYP2C9,bond_type_change,13-14:AROMATIC->double,13,True,0.010828059166669846,0.00021206028759479523,0.9775,2
OCNT-0494110,CYP2C9,bond_type_change,13-14:AROMATIC->triple,13,True,0.010436312761157751,0.001102194655686617,0.98,2
OCNT-0494110,CYP2C9,bond_deletion,14-15:AROMATIC,14,True,0.011513204779475927,6.840704008936882e-05,0.98,2
OCNT-0494110,CYP2C9,ring_opening,14-15:AROMATIC,14,True,0.009589324705302715,8.711963891983032e-05,0.975,2
OCNT-0494110,CYP2C9,bond_type_change,14-15:AROMATIC->single,14,True,0.012277249712496996,0.00016935216262936592,0.9775,2
OCNT-0494110,CYP2C9,bond_type_change,14-15:AROMATIC->double,14,True,0.010762821417301893,0.00034979963675141335,0.975,2
OCNT-0494110,CYP2C9,bond_type_change,14-15:AROMATIC->triple,14,True,0.01148130837827921,0.00022926833480596542,0.98,2
OCNT-0494110,CYP2C9,bond_deletion,15-16:AROMATIC,15,True,0.011185737792402506,5.210749804973602e-07,0.965,2
OCNT-0494110,CYP2C9,ring_opening,15-16:AROMATIC,15,True,0.010458753909915686,0.0005087419413030148,0.9824999999999999,2
OCNT-0494110,CYP2C9,bond_type_change,15-16:AROMATIC->single,15,True,0.011859597638249397,1.1136755347251892e-05,0.9724999999999999,2
OCNT-0494110,CYP2C9,bond_type_change,15-16:AROMATIC->double,15,True,0.011228400748223066,0.0004054042510688305,0.9724999999999999,2
OCNT-0494110,CYP2C9,bond_type_change,15-16:AROMATIC->triple,15,True,0.0115659786388278,0.0001948149874806404,0.9775,2
OCNT-0494110,CYP2C9,bond_deletion,16-17:SINGLE,16,False,0.011559812817722559,7.726205512881279e-05,0.9775,2
OCNT-0494110,CYP2C9,bond_type_change,16-17:SINGLE->double,16,False,0.011568929068744183,0.0002712532877922058,0.98,2
OCNT-0494110,CYP2C9,bond_type_change,16-17:SINGLE->triple,16,False,0.010773636866360903,3.545498475432396e-05,0.9775,2
OCNT-0494110,CYP2C9,bond_type_change,16-17:SINGLE->aromatic,16,False,0.010588775388896465,0.0001269914209842682,0.975,2
OCNT-0494110,CYP2C9,bond_deletion,16-18:AROMATIC,17,True,0.010964170563966036,0.0007557296194136143,0.9775,2
OCNT-0494110,CYP2C9,ring_opening,16-18:AROMATIC,17,True,0.01102286297827959,8.820276707410812e-05,0.98,2
OCNT-0494110,CYP2C9,bond_type_change,16-18:AROMATIC->single,17,True,0.012195685878396034,0.0005024829879403114,0.9724999999999999,2
OCNT-0494110,CYP2C9,bond_type_change,16-18:AROMATIC->double,17,True,0.010911645833402872,0.0004806523211300373,0.9724999999999999,2
OCNT-0494110,CYP2C9,bond_type_change,16-18:AROMATIC->triple,17,True,0.011382189579308033,0.0004426063969731331,0.9775,2
OCNT-0494110,CYP2C9,bond_deletion,18-19:AROMATIC,18,True,0.011905274353921413,0.0004708860069513321,0.9824999999999999,2
OCNT-0494110,CYP2C9,ring_opening,18-19:AROMATIC,18,True,0.009449108503758907,0.00011663604527711868,0.98,2
OCNT-0494110,CYP2C9,bond_type_change,18-19:AROMATIC->single,18,True,0.01231862511485815,5.799904465675354e-05,0.965,2
OCNT-0494110,CYP2C9,bond_type_change,18-19:AROMATIC->double,18,True,0.010952844750136137,0.00017937785014510155,0.9775,2
OCNT-0494110,CYP2C9,bond_type_change,18-19:AROMATIC->triple,18,True,0.010153547395020723,0.0003107241354882717,0.98,2
OCNT-0494110,CYP2C9,bond_deletion,12-6:AROMATIC,19,True,0.01108544785529375,9.84538346529007e-05,0.97,2
OCNT-0494110,CYP2C9,ring_opening,12-6:AROMATIC,19,True,0.010795482899993658,2.8850045055150986e-05,0.98,2
OCNT-0494110,CYP2C9,bond_type_change,12-6:AROMATIC->single,19,True,0.012302409391850233,0.00013246247544884682,0.975,2
