stage,seed,fold,validation_ma_st_rae,validation_point_ma_st_rae,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile,loss_mode,interval_loss_beta,interval_temperature
confirmation,1701,1,0.8982559657369275,0.8952192959481472,0.8882532119750977,16,16,0.0003,0.1,0.0001,2.0,64,0.08,0.5,0.01,0.85,0.5,0.8,0.8,0.8,0.05,periodic_valence,hybrid_interval,0.75,0.1
confirmation,1701,2,0.8427397986362074,0.8402918770027573,0.8505563735961914,16,16,0.0003,0.1,0.0001,2.0,64,0.08,0.5,0.01,0.85,0.5,0.8,0.8,0.8,0.05,periodic_valence,hybrid_interval,0.75,0.1
confirmation,1701,3,0.8883366965653373,0.8857487295617791,0.8811127543449402,16,16,0.0003,0.1,0.0001,2.0,64,0.08,0.5,0.01,0.85,0.5,0.8,0.8,0.8,0.05,periodic_valence,hybrid_interval,0.75,0.1
confirmation,1701,4,0.9032892267952835,0.9006178135789397,0.8922850489616394,16,16,0.0003,0.1,0.0001,2.0,64,0.08,0.5,0.01,0.85,0.5,0.8,0.8,0.8,0.05,periodic_valence,hybrid_interval,0.75,0.1
confirmation,2909,0,0.8588720715610844,0.8558718392363402,0.7954679131507874,16,16,0.0003,0.1,0.0001,2.0,64,0.08,0.5,0.01,0.85,0.5,0.8,0.8,0.8,0.05,periodic_valence,hybrid_interval,0.75,0.1
confirmation,2909,1,0.8951686510125832,0.8926635726206622,0.887795090675354,16,16,0.0003,0.1,0.0001,2.0,64,0.08,0.5,0.01,0.85,0.5,0.8,0.8,0.8,0.05,periodic_valence,hybrid_interval,0.75,0.1
confirmation,2909,2,0.8663607786966522,0.8624011935496987,0.8591049313545227,16,16,0.0003,0.1,0.0001,2.0,64,0.08,0.5,0.01,0.85,0.5,0.8,0.8,0.8,0.05,periodic_valence,hybrid_interval,0.75,0.1
confirmation,2909,3,0.9173944929708835,0.9132181797599238,0.8942658305168152,16,16,0.0003,0.1,0.0001,2.0,64,0.08,0.5,0.01,0.85,0.5,0.8,0.8,0.8,0.05,periodic_valence,hybrid_interval,0.75,0.1
confirmation,2909,4,0.9008958736231497,0.8976930328018251,0.8976375460624695,16,16,0.0003,0.1,0.0001,2.0,64,0.08,0.5,0.01,0.85,0.5,0.8,0.8,0.8,0.05,periodic_valence,hybrid_interval,0.75,0.1
confirmation,4211,0,0.8528966720963833,0.8499485009973404,0.7863631248474121,16,16,0.0003,0.1,0.0001,2.0,64,0.08,0.5,0.01,0.85,0.5,0.8,0.8,0.8,0.05,periodic_valence,hybrid_interval,0.75,0.1
