stage,seed,fold,validation_ma_st_rae,validation_point_ma_st_rae,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile,loss_mode,interval_loss_beta,interval_temperature
confirmation,2909,3,0.8803085895373768,0.8762784499690373,0.8709425926208496,250,16,0.003,0.1,1e-06,2.0,128,0.15,0.5,0.0,0.85,2.0,0.2,0.5,0.5,0.3,periodic_valence,hybrid_interval,0.5,0.05
confirmation,2909,4,0.9075195412192106,0.9041249966655189,0.8931332230567932,250,16,0.003,0.1,1e-06,2.0,128,0.15,0.5,0.0,0.85,2.0,0.2,0.5,0.5,0.3,periodic_valence,hybrid_interval,0.5,0.05
confirmation,4211,0,0.8355097369514912,0.8322502937766987,0.7801798582077026,250,16,0.003,0.1,1e-06,2.0,128,0.15,0.5,0.0,0.85,2.0,0.2,0.5,0.5,0.3,periodic_valence,hybrid_interval,0.5,0.05
confirmation,4211,1,0.8575615267865312,0.854765228670152,0.8630654215812683,250,16,0.003,0.1,1e-06,2.0,128,0.15,0.5,0.0,0.85,2.0,0.2,0.5,0.5,0.3,periodic_valence,hybrid_interval,0.5,0.05
confirmation,4211,2,0.8311515587109006,0.8273342857363913,0.8317739367485046,250,16,0.003,0.1,1e-06,2.0,128,0.15,0.5,0.0,0.85,2.0,0.2,0.5,0.5,0.3,periodic_valence,hybrid_interval,0.5,0.05
confirmation,4211,3,0.8993706514227618,0.8950671209325067,0.8827356100082397,250,16,0.003,0.1,1e-06,2.0,128,0.15,0.5,0.0,0.85,2.0,0.2,0.5,0.5,0.3,periodic_valence,hybrid_interval,0.5,0.05
confirmation,4211,4,0.9074856964040386,0.9021796661927546,0.8899087905883789,250,16,0.003,0.1,1e-06,2.0,128,0.15,0.5,0.0,0.85,2.0,0.2,0.5,0.5,0.3,periodic_valence,hybrid_interval,0.5,0.05
confirmation,1701,0,0.8466807308284952,0.8437213018738042,0.7897257804870605,125,8,0.003,0.01,0.0001,2.0,128,0.08,0.5,0.01,0.85,0.5,0.5,0.8,0.8,0.15,electronic_local,hybrid_interval,1.0,0.05
confirmation,1701,1,0.8734232766358702,0.8711080403308799,0.8852205872535706,125,8,0.003,0.01,0.0001,2.0,128,0.08,0.5,0.01,0.85,0.5,0.5,0.8,0.8,0.15,electronic_local,hybrid_interval,1.0,0.05
confirmation,1701,2,0.8409758772043572,0.8385177678368161,0.8474459052085876,125,8,0.003,0.01,0.0001,2.0,128,0.08,0.5,0.01,0.85,0.5,0.5,0.8,0.8,0.15,electronic_local,hybrid_interval,1.0,0.05
