stage,seed,fold,validation_ma_st_rae,validation_point_ma_st_rae,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile,loss_mode,interval_loss_beta,interval_temperature
confirmation,4211,4,0.8952130154222321,0.8907943379572728,0.8936284184455872,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
confirmation,1701,0,0.8270663367583332,0.8240701956174548,0.7767701745033264,16,16,0.003,1.0,1e-06,1.0,64,0.25,1.5,0.0,0.6,1.0,0.5,0.2,0.2,0.15,local_environment,hybrid_interval,0.25,0.1
confirmation,1701,1,0.8552386114433652,0.852913637667764,0.8686007261276245,16,16,0.003,1.0,1e-06,1.0,64,0.25,1.5,0.0,0.6,1.0,0.5,0.2,0.2,0.15,local_environment,hybrid_interval,0.25,0.1
confirmation,1701,2,0.8228214257109102,0.8208418707818419,0.824051558971405,16,16,0.003,1.0,1e-06,1.0,64,0.25,1.5,0.0,0.6,1.0,0.5,0.2,0.2,0.15,local_environment,hybrid_interval,0.25,0.1
confirmation,1701,3,0.9044202843287862,0.9004790294782639,0.8805558085441589,16,16,0.003,1.0,1e-06,1.0,64,0.25,1.5,0.0,0.6,1.0,0.5,0.2,0.2,0.15,local_environment,hybrid_interval,0.25,0.1
confirmation,1701,4,0.8632834264823122,0.8612297073691468,0.8868247866630554,16,16,0.003,1.0,1e-06,1.0,64,0.25,1.5,0.0,0.6,1.0,0.5,0.2,0.2,0.15,local_environment,hybrid_interval,0.25,0.1
confirmation,2909,0,0.8237406809585348,0.8207377271659178,0.7755984663963318,16,16,0.003,1.0,1e-06,1.0,64,0.25,1.5,0.0,0.6,1.0,0.5,0.2,0.2,0.15,local_environment,hybrid_interval,0.25,0.1
confirmation,2909,1,0.8736550666665666,0.8713685332034649,0.8745595812797546,16,16,0.003,1.0,1e-06,1.0,64,0.25,1.5,0.0,0.6,1.0,0.5,0.2,0.2,0.15,local_environment,hybrid_interval,0.25,0.1
confirmation,2909,2,0.834319997652037,0.8312134151987157,0.8484565615653992,16,16,0.003,1.0,1e-06,1.0,64,0.25,1.5,0.0,0.6,1.0,0.5,0.2,0.2,0.15,local_environment,hybrid_interval,0.25,0.1
confirmation,2909,3,0.9044740289402358,0.90078656521635,0.8777225017547607,16,16,0.003,1.0,1e-06,1.0,64,0.25,1.5,0.0,0.6,1.0,0.5,0.2,0.2,0.15,local_environment,hybrid_interval,0.25,0.1
confirmation,2909,4,0.8885548433103637,0.8848473373517222,0.8807129859924316,16,16,0.003,1.0,1e-06,1.0,64,0.25,1.5,0.0,0.6,1.0,0.5,0.2,0.2,0.15,local_environment,hybrid_interval,0.25,0.1
confirmation,4211,0,0.8244962035259378,0.8220846625544608,0.7801142930984497,16,16,0.003,1.0,1e-06,1.0,64,0.25,1.5,0.0,0.6,1.0,0.5,0.2,0.2,0.15,local_environment,hybrid_interval,0.25,0.1
confirmation,4211,1,0.8824276398538495,0.8806195490412638,0.8776835203170776,16,16,0.003,1.0,1e-06,1.0,64,0.25,1.5,0.0,0.6,1.0,0.5,0.2,0.2,0.15,local_environment,hybrid_interval,0.25,0.1
confirmation,4211,2,0.825377526914913,0.8216455270594776,0.8316764831542969,16,16,0.003,1.0,1e-06,1.0,64,0.25,1.5,0.0,0.6,1.0,0.5,0.2,0.2,0.15,local_environment,hybrid_interval,0.25,0.1
confirmation,4211,3,0.8810097054483479,0.8767067382812763,0.8837903141975403,16,16,0.003,1.0,1e-06,1.0,64,0.25,1.5,0.0,0.6,1.0,0.5,0.2,0.2,0.15,local_environment,hybrid_interval,0.25,0.1
confirmation,4211,4,0.8934461021049362,0.8890064804053673,0.8841028809547424,16,16,0.003,1.0,1e-06,1.0,64,0.25,1.5,0.0,0.6,1.0,0.5,0.2,0.2,0.15,local_environment,hybrid_interval,0.25,0.1
