stage,seed,fold,validation_ma_st_rae,validation_point_ma_st_rae,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile,trajectory_pooling,ridge_mode
stage1,1701,0,0.9507628964613275,0.9344919141240705,0.8348905444145203,32,8,0.001,0.1,1e-05,1.0,64,0.25,0.5,0.0,0.6,2.0,0.2,0.5,0.8,0.15,electronic_local,multiscale,shared
stage1,1701,0,0.9473339868816755,0.9312846914212201,0.8391070365905762,125,16,0.001,1.0,1e-05,1.0,128,0.25,0.5,0.01,0.85,1.0,0.2,0.8,0.2,0.05,periodic,multiscale,shared
stage1,1701,0,0.9658885317362735,0.9471451100139511,0.8350334763526917,32,16,0.001,0.1,1e-06,2.0,64,0.4,1.0,0.005,0.75,0.5,0.2,0.5,0.8,0.3,electronic,multiscale,shared
stage1,1701,0,0.9515733251044359,0.9336411241030473,0.8181185126304626,32,16,0.003,1.0,0.0001,1.0,64,0.4,1.0,0.005,0.6,2.0,0.2,0.8,0.2,0.05,periodic,multiscale,shared
stage1,1701,0,1.0044688213360113,0.9861713739093565,0.8425552248954773,32,16,0.0003,1.0,0.0001,2.0,64,0.08,1.5,0.005,0.75,0.5,0.2,0.5,0.5,0.15,electronic,multiscale,shared
stage1,1701,0,0.9613723729032345,0.9427242260664893,0.8381008505821228,125,4,0.003,0.01,1e-05,0.5,128,0.08,1.5,0.005,0.6,0.5,0.5,0.8,0.5,0.3,valence_electronic,multiscale,per_endpoint
stage1,1701,0,0.990388110490054,0.972105862500167,0.8649535775184631,125,4,0.003,0.1,0.0001,0.5,64,0.25,0.5,0.0,0.75,0.5,0.8,0.8,0.8,0.15,periodic_valence,multiscale,per_endpoint
stage1,1701,0,0.9744131176997862,0.9597120650604618,0.8676698803901672,64,8,0.0003,1.0,1e-05,0.5,128,0.25,1.0,0.01,0.6,2.0,0.2,0.8,0.2,0.3,valence,multiscale,shared
stage1,1701,0,1.0649010808210881,1.0448540863991287,0.9080432057380676,16,8,0.003,0.01,1e-05,2.0,64,0.08,0.5,0.01,0.85,1.0,0.8,0.2,0.8,0.3,periodic_valence,multiscale,per_endpoint
stage2,1701,0,0.8430098718549113,0.8385413928278663,0.8059167265892029,32,16,0.003,1.0,1e-06,2.0,64,0.08,0.5,0.0,0.6,2.0,0.2,0.2,0.8,0.15,electronic_local,multiscale,shared
stage2,1701,1,0.8503170731080677,0.846368676436976,0.8513525724411011,32,16,0.003,1.0,1e-06,2.0,64,0.08,0.5,0.0,0.6,2.0,0.2,0.2,0.8,0.15,electronic_local,multiscale,shared
stage2,1701,2,0.8388431525783135,0.8334214891353234,0.8543938994407654,32,16,0.003,1.0,1e-06,2.0,64,0.08,0.5,0.0,0.6,2.0,0.2,0.2,0.8,0.15,electronic_local,multiscale,shared
stage2,1701,0,0.887191734743207,0.8834816673858821,0.828861653804779,125,8,0.001,1.0,1e-05,1.0,64,0.4,1.0,0.005,0.6,1.0,0.2,0.5,0.5,0.05,local_environment,multiscale,shared
stage2,1701,1,0.882912223249398,0.8794849506103077,0.8718395233154297,125,8,0.001,1.0,1e-05,1.0,64,0.4,1.0,0.005,0.6,1.0,0.2,0.5,0.5,0.05,local_environment,multiscale,shared
